epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.3391,1.40146,2.70601,1.3352,0.67156,0.47368,0.51407,0.38105,1.13613,1.13712,1.06524,1.785e-05,1.785e-05,1.785e-05
2,26.1368,1.45235,2.69244,1.34216,0.60183,0.4971,0.51608,0.38732,1.14052,1.13847,1.07411,2.95858e-05,2.95858e-05,2.95858e-05
3,38.7035,1.41522,2.25221,1.30429,0.59644,0.4846,0.51355,0.38234,1.14548,1.13518,1.07963,3.37817e-05,3.37817e-05,3.37817e-05
4,51.547,1.34155,2.13279,1.29047,0.61284,0.47856,0.51569,0.38397,1.14977,1.13556,1.08372,3.04378e-05,3.04378e-05,3.04378e-05
5,64.2032,1.30773,1.94178,1.2602,0.67541,0.45307,0.5138,0.38055,1.15806,1.14438,1.08585,1.95541e-05,1.95541e-05,1.95541e-05
