Modèle,mAP@0.5,mAP@0.5:0.95,Précision,Rappel,Temps (s/img)
yolov3u.pt,0.7949314440894856,0.629840668763675,0.7290779380409934,0.7353698718841812,1.9156950078904629
yolov5nu.pt,0.5801815066907611,0.42197837638505425,0.5985922645519377,0.5168091990022935,0.15635364688932896
yolov8n.pt,0.6051975356243309,0.4461285574008263,0.639548705717533,0.536795310037948,0.1512739695608616
yolo11n.pt,0.6723823354039598,0.5059325270698616,0.659670427475843,0.5932025742852252,0.1620847824960947
yolo11s.pt,0.7507734660843666,0.5766353258736553,0.7836478113351801,0.652870420767253,0.3779622260481119
